Date, Close/Last, Volume, Open, High, Low
06/01/2020, 4207.57, 0, 4210.74, 4228.22, 4185.78
05/29/2020, 4229.57, 0, 4166.42, 4234.5, 4099.75
05/28/2020, 4151.68, 0, 4165.71, 4213.58, 4142.12
05/27/2020, 4141.81, 0, 4096.07, 4144.79, 3978.18
05/26/2020, 4109.7, 0, 4238.3, 4240.11, 4105.44
05/22/2020, 4190.01, 0, 4154.61, 4191.51, 4133.57
05/21/2020, 4155.54, 0, 4200.31, 4200.37, 4120.97
05/20/2020, 4202.55, 0, 4160.45, 4208.06, 4137.24
05/19/2020, 4115.89, 0, 4188.45, 4209.5, 4114.78
05/18/2020, 4198.9, 0, 4262.33, 4263.26, 4190.68
05/15/2020, 4148.55, 0, 4029.64, 4150.02, 4015.29
05/14/2020, 4053.95, 0, 4032.56, 4076.86, 3996.72
05/13/2020, 4070.33, 0, 4138.39, 4193.81, 4003.81
05/12/2020, 4120.63, 0, 4218.99, 4273.52, 4118.61
05/11/2020, 4201.88, 0, 4033.54, 4210.04, 4028.09
05/08/2020, 4033.47, 0, 4035, 4055.24, 4013.58
05/07/2020, 3999.75, 0, 4034.73, 4035.53, 3979.77
05/06/2020, 3990.13, 0, 3995.91, 4035.82, 3972.23
05/05/2020, 3986.13, 0, 3950.37, 4017.83, 3948.9
05/04/2020, 3909.38, 0, 3799.4, 3911.91, 3798.95
05/01/2020, 3801.49, 0, 3840.11, 3855.78, 3759.98
04/30/2020, 3900.06, 0, 3942.48, 3948.45, 3883.38
04/29/2020, 3949.93, 0, 3995.62, 3995.62, 3924.45
04/28/2020, 3918.39, 0, 4038.83, 4038.83, 3905.91
04/27/2020, 4005.8, 0, 4012.69, 4034.49, 3972.67
04/24/2020, 3961.67, 0, 3896.3, 3965.27, 3867.5
04/23/2020, 3875.25, 0, 3891.5, 3977.64, 3862.24
04/22/2020, 3878.32, 0, 3880.56, 3893.01, 3829.23
04/21/2020, 3845.67, 0, 3917.31, 3941.88, 3829.18
04/20/2020, 3971.74, 0, 3882.28, 4033.26, 3881.57
04/17/2020, 3914.49, 0, 3878.16, 3915.51, 3822.97
04/16/2020, 3746.8, 0, 3677.23, 3748.93, 3664.16
04/15/2020, 3637.5, 0, 3659.44, 3673.43, 3617.9
04/14/2020, 3724.28, 0, 3662.71, 3728.81, 3657.75
04/13/2020, 3597.01, 0, 3578.6, 3601.04, 3541.3
04/09/2020, 3578.69, 0, 3563.63, 3585.24, 3534.85
04/08/2020, 3547.25, 0, 3470.27, 3556.95, 3435.69
04/07/2020, 3446.48, 0, 3574.72, 3578.15, 3437.14
04/06/2020, 3512.81, 0, 3444.75, 3517.28, 3426.32
04/03/2020, 3342.03, 0, 3362.44, 3403.01, 3314.49
04/02/2020, 3382.35, 0, 3233.68, 3385.44, 3230.76
04/01/2020, 3257.19, 0, 3301.85, 3347.7, 3234.67
03/31/2020, 3392.27, 0, 3386.69, 3425.07, 3347.55
03/30/2020, 3424.16, 0, 3337.66, 3424.7, 3331.11
03/27/2020, 3287.99, 0, 3289.81, 3373.42, 3274.36
03/26/2020, 3368.3, 0, 3210.83, 3368.3, 3210.83
03/25/2020, 3201.06, 0, 3214.78, 3300.37, 3190.67
03/24/2020, 3233.09, 0, 3170.27, 3235.68, 3141.2
03/23/2020, 3056.57, 0, 3114.54, 3127.24, 2958.89
