Date, Close/Last, Volume, Open, High, Low
06/02/2020, 652.2786, 0, 647.211, 652.2786, 645.0995
06/01/2020, 648.9666, 0, 649.6333, 651.4141, 644.7521
05/29/2020, 656.9222, 0, 653.8761, 657.8288, 644.3226
05/28/2020, 648.12, 0, 644.9084, 653.4096, 644.2321
05/27/2020, 637.3681, 0, 634.8581, 637.3684, 626.9308
05/26/2020, 637.3798, 0, 646.9147, 646.9147, 636.5559
05/22/2020, 641.3212, 0, 643.7911, 643.7911, 637.3553
05/21/2020, 643.7911, 0, 648.4017, 648.4017, 638.283
05/20/2020, 645.5537, 0, 652.3541, 652.3541, 644.114
05/19/2020, 645.765, 0, 649.3554, 653.4294, 644.3243
05/18/2020, 650.5014, 0, 655.2065, 656.3873, 650.2231
05/15/2020, 647.384, 0, 646.154, 648.0478, 639.5739
05/14/2020, 646.154, 0, 636.6244, 646.5944, 635.8237
05/13/2020, 645.294, 0, 644.5243, 653.24, 640.9931
05/12/2020, 644.5243, 0, 653.1084, 654.7771, 644.5243
05/11/2020, 649.8112, 0, 637.5611, 651.1647, 637.2645
05/08/2020, 638.9956, 0, 641.1105, 641.7968, 637.5972
05/07/2020, 636.0799, 0, 645.566, 645.566, 635.4322
05/06/2020, 642.5471, 0, 648.0516, 649.6149, 642.5471
05/05/2020, 645.2844, 0, 639.0363, 649.5092, 637.6648
05/04/2020, 634.7058, 0, 636.4679, 636.9942, 630.5457
05/01/2020, 633.458, 0, 635.1238, 636.1741, 628.7924
04/30/2020, 640.8823, 0, 643.2195, 644.5936, 638.1781
04/29/2020, 643.8205, 0, 647.2741, 649.0831, 641.6182
04/28/2020, 647.2741, 0, 659.3164, 659.91, 646.5983
04/27/2020, 659.3132, 0, 657.615, 662.3373, 657.1618
04/24/2020, 653.468, 0, 646.4995, 654.538, 646.4995
04/23/2020, 646.3471, 0, 643.0141, 655.4224, 643.0141
04/22/2020, 643.0141, 0, 642.3085, 646.1732, 640.6248
04/21/2020, 634.9649, 0, 640.1168, 643.1168, 633.7799
04/20/2020, 648.6161, 0, 644.0705, 656.4894, 643.1033
04/17/2020, 647.4396, 0, 646.1479, 648.2555, 639.9733
04/16/2020, 636.7206, 0, 633.1023, 638.429, 629.6301
04/15/2020, 625.3409, 0, 620.2075, 629.1008, 616.5156
04/14/2020, 628.0767, 0, 620.1348, 629.8022, 618.0682
04/13/2020, 608.3024, 0, 612.0651, 615.1325, 603.3586
04/09/2020, 611.78, 0, 609.7698, 614.5117, 606.4697
04/08/2020, 608.18, 0, 594.78, 611.052, 588.8008
04/07/2020, 590.9154, 0, 605.7469, 606.2221, 590.5471
04/06/2020, 600.994, 0, 592.5144, 603.747, 590.5124
04/03/2020, 581.2248, 0, 577.7003, 584.7855, 574.7733
04/02/2020, 580.2055, 0, 565.3716, 581.5071, 560.2033
04/01/2020, 565.874, 0, 564.2885, 571.1594, 561.2019
03/31/2020, 579.7146, 0, 580.1199, 585.6649, 574.5033
03/30/2020, 579.6042, 0, 565.6281, 581.0923, 565.6281
03/27/2020, 550.7007, 0, 544.7305, 563.6732, 544.4822
03/26/2020, 559.4978, 0, 531.364, 561.3533, 531.364
03/25/2020, 526.7022, 0, 520.0827, 540.0133, 516.0705
03/24/2020, 520.8247, 0, 516.3736, 522.4048, 509.1461
03/23/2020, 494.3598, 0, 515.165, 515.165, 488.4468
03/20/2020, 515.165, 0, 535.4361, 541.3937, 513.3655
03/19/2020, 536.0627, 0, 548.4727, 549.9848, 535.4098
03/18/2020, 551.9845, 0, 543.3493, 556.5772, 529.6739
03/17/2020, 567.8216, 0, 540.7918, 571.0091, 538.5882
03/16/2020, 534.303, 0, 556.2726, 564.6521, 523.777
03/13/2020, 583.1338, 0, 566.0901, 583.7346, 544.0243
03/12/2020, 546.5181, 0, 555.3405, 572.3739, 543.6578
03/11/2020, 588.5363, 0, 605.1055, 605.1055, 582.7989
03/10/2020, 613.9427, 0, 608.732, 614.6816, 588.694
03/09/2020, 595.1655, 0, 594.112, 609.699, 590.1806
03/06/2020, 623.8918, 0, 627.4081, 627.4081, 609.2605
03/05/2020, 627.4081, 0, 625.0802, 633.3176, 621.3454
03/04/2020, 637.6859, 0, 620.3516, 638.2429, 616.9573
03/03/2020, 605.5448, 0, 620.488, 627.5908, 598.4327
03/02/2020, 620.1071, 0, 600.0463, 620.5239, 597.1809
02/28/2020, 593.9624, 0, 594.8832, 596.4736, 579.1944
02/27/2020, 607.506, 0, 620.0731, 627.47, 607.3459
02/26/2020, 624.8482, 0, 627.1975, 634.0162, 624.1451
02/25/2020, 624.9098, 0, 638.5286, 639.6053, 621.9266
02/24/2020, 637.2612, 0, 657.9182, 657.9182, 636.1232
02/21/2020, 657.9182, 0, 654.9408, 658.5505, 652.5606
02/20/2020, 655.2521, 0, 656.1608, 658.5506, 651.4629
02/19/2020, 658.3064, 0, 659.0706, 660.007, 657.8684
02/18/2020, 658.4682, 0, 659.2524, 660.9758, 657.2699
02/14/2020, 658.9848, 0, 659.9657, 660.1867, 656.4119
02/13/2020, 660.3182, 0, 663.333, 664.1929, 660.1167
02/12/2020, 668.1349, 0, 670.1197, 670.7438, 666.4752
02/11/2020, 670.1539, 0, 669.9224, 671.0013, 668.8671
02/10/2020, 668.8792, 0, 664.2346, 668.8889, 662.1605
02/07/2020, 664.2346, 0, 667.3657, 668.1263, 663.3415
02/06/2020, 668.0935, 0, 667.0574, 668.4705, 665.0681
02/05/2020, 665.2085, 0, 660.0723, 665.7927, 659.9212
02/04/2020, 658.583, 0, 655.2179, 661.7144, 655.2179
02/03/2020, 651.1856, 0, 649.1711, 655.4036, 649.1711
01/31/2020, 646.6369, 0, 653.5238, 653.5238, 645.1515
01/30/2020, 653.5238, 0, 655.9721, 655.9721, 650.0743
01/29/2020, 655.9721, 0, 657.1111, 660.1818, 655.9131
01/28/2020, 654.9852, 0, 653.8843, 657.1165, 652.821
01/27/2020, 653.3255, 0, 649.0476, 655.6825, 649.0476
01/24/2020, 655.3229, 0, 666.8288, 666.8962, 653.9471
01/23/2020, 665.6438, 0, 667.8988, 667.8988, 661.7951
01/22/2020, 667.8988, 0, 668.2063, 669.7474, 666.1689
01/21/2020, 668.7592, 0, 668.3104, 671.4299, 667.7502
01/17/2020, 670.3171, 0, 671.0993, 672.5094, 669.7716
01/16/2020, 669.0233, 0, 668.3698, 669.641, 666.628
01/15/2020, 668.3698, 0, 663.0192, 669.5438, 663.0192
01/14/2020, 660.9318, 0, 654.4914, 661.1179, 653.4347
01/13/2020, 656.1848, 0, 655.7784, 657.8022, 653.7761
01/10/2020, 655.1612, 0, 656.3985, 658.4239, 654.5178
01/09/2020, 654.7204, 0, 652.8699, 656.2786, 652.6573
01/08/2020, 650.7325, 0, 649.943, 653.8299, 648.837
01/07/2020, 649.8321, 0, 650.6169, 651.0473, 647.8288
01/06/2020, 652.0282, 0, 649.8536, 652.3253, 649.1143
01/03/2020, 650.6573, 0, 647.6715, 654.1345, 647.3963
01/02/2020, 655.9466, 0, 654.3746, 656.0029, 651.7882
12/31/2019, 653.6292, 0, 651.3102, 653.7007, 650.0623
12/30/2019, 652.1572, 0, 657.1261, 657.879, 651.5155
12/27/2019, 656.6332, 0, 658.2155, 658.5925, 655.9914
12/26/2019, 655.1523, 0, 655.1724, 656.5141, 653.3938
12/24/2019, 654.7774, 0, 655.3461, 655.3461, 652.9969
12/23/2019, 655.3461, 0, 655.5105, 655.9094, 654.4561
12/20/2019, 655.2748, 0, 658.2153, 658.2153, 654.3854
12/19/2019, 650.8957, 0, 647.7768, 651.7843, 647.0541
12/18/2019, 646.136, 0, 646.6832, 648.3624, 645.0106
12/17/2019, 646.1621, 0, 645.8449, 647.4493, 643.9935
12/16/2019, 644.081, 0, 642.3337, 646.838, 642.3337
12/13/2019, 638.6138, 0, 639.0078, 641.1747, 635.8523
12/12/2019, 638.8973, 0, 634.5707, 640.2279, 634.4484
12/11/2019, 634.7058, 0, 632.8497, 635.7116, 632.8497
12/10/2019, 632.8497, 0, 628.7927, 633.5452, 628.7927
12/09/2019, 628.7927, 0, 629.2836, 629.9683, 628.3907
12/06/2019, 629.2039, 0, 627.9557, 631.7769, 627.9557
12/05/2019, 626.8461, 0, 627.4154, 627.4154, 623.3689
12/04/2019, 627.4459, 0, 622.753, 628.065, 622.201
12/03/2019, 620.38, 0, 617.9754, 620.7818, 616.0281
12/02/2019, 621.6387, 0, 624.9427, 626.1155, 619.9496
11/29/2019, 625.0021, 0, 625.9831, 626.945, 624.0147
11/27/2019, 626.5284, 0, 624.3113, 628.0982, 624.1717
11/26/2019, 623.753, 0, 621.682, 624.3848, 620.9419
11/25/2019, 621.9708, 0, 617.1196, 622.1944, 617.1196
11/22/2019, 617.1196, 0, 616.3628, 618.2054, 615.6095
11/21/2019, 614.9401, 0, 612.8215, 615.7364, 609.3049
11/20/2019, 612.2277, 0, 614.4195, 614.5243, 609.0933
11/19/2019, 615.4489, 0, 614.7875, 616.6422, 613.3512
11/18/2019, 614.6165, 0, 614.4924, 616.1359, 613.2203
11/15/2019, 615.0848, 0, 606.6065, 615.0923, 606.6065
11/14/2019, 606.7438, 0, 608.1983, 608.1983, 603.6603
11/13/2019, 608.9675, 0, 607.6242, 610.0153, 607.245
11/12/2019, 608.0501, 0, 605.8229, 610.8608, 605.8229
11/11/2019, 605.9256, 0, 607.7316, 607.7316, 604.3102
11/08/2019, 607.7316, 0, 600.9458, 607.7316, 600.9458
11/07/2019, 600.9458, 0, 603.9534, 604.1502, 599.7296
11/06/2019, 603.3987, 0, 601.2475, 604.102, 600.1546
11/05/2019, 600.3332, 0, 605.6608, 605.9589, 599.4861
11/04/2019, 606.1736, 0, 607.7301, 612.0544, 606.0311
11/01/2019, 607.7301, 0, 609.7635, 613.1445, 607.6698
10/31/2019, 609.7049, 0, 608.9981, 610.4014, 607.0135
10/30/2019, 611.1433, 0, 606.0522, 611.3125, 604.4574
10/29/2019, 602.8798, 0, 597.13, 605.2358, 597.13
10/28/2019, 597.2239, 0, 592.7009, 598.8029, 592.7009
10/25/2019, 592.8062, 0, 590.3365, 594.5332, 588.8766
10/24/2019, 590.3365, 0, 589.6416, 593.7675, 588.1674
10/23/2019, 589.5785, 0, 586.2047, 589.6017, 584.2871
10/22/2019, 586.2047, 0, 589.5482, 591.3301, 585.8546
10/21/2019, 587.0903, 0, 587.645, 589.9854, 585.1643
10/18/2019, 587.622, 0, 593.2134, 593.2134, 586.5612
10/17/2019, 593.2134, 0, 590.529, 595.8355, 590.529
10/16/2019, 589.6962, 0, 588.4464, 593.6913, 588.3962
10/15/2019, 589.2155, 0, 582.702, 590.5901, 582.702
10/14/2019, 582.6165, 0, 582.9513, 584.8957, 581.8958
10/11/2019, 582.8771, 0, 579.3283, 588.3835, 579.3283
10/10/2019, 579.0417, 0, 577.5514, 581.5921, 575.9386
10/09/2019, 577.9723, 0, 578.2585, 580.8659, 576.1751
10/08/2019, 577.3901, 0, 584.1394, 584.1394, 577.3633
10/07/2019, 584.1394, 0, 585.3631, 587.9656, 583.1589
10/04/2019, 585.3888, 0, 576.8973, 585.6165, 576.8973
10/03/2019, 576.8973, 0, 571.1718, 577.0365, 569.0594
10/02/2019, 571.1281, 0, 580.2653, 580.2653, 568.8079
10/01/2019, 580.2653, 0, 587.1685, 588.012, 579.6643
09/30/2019, 586.9514, 0, 584.9028, 590.6623, 584.9028
09/27/2019, 584.9028, 0, 585.0115, 587.8065, 582.9435
09/26/2019, 585.1662, 0, 586.9975, 589.6464, 582.1989
09/25/2019, 584.1641, 0, 587.3977, 587.5865, 583.8737
09/24/2019, 587.3977, 0, 589.4509, 592.727, 586.28
09/23/2019, 588.901, 0, 591.6439, 591.6439, 588.7206
09/20/2019, 591.6742, 0, 584.9172, 593.2496, 584.9172
09/19/2019, 584.9062, 0, 582.9364, 587.2676, 582.9192
09/18/2019, 581.9384, 0, 580.6424, 582.9794, 578.7533
09/17/2019, 580.6199, 0, 577.1881, 581.6954, 577.1881
09/16/2019, 577.1796, 0, 580.453, 580.453, 576.8067
09/13/2019, 580.5272, 0, 584.7966, 585.9552, 579.3206
09/12/2019, 584.7966, 0, 584.0707, 587.005, 583.8241
09/11/2019, 584.0707, 0, 578.6869, 584.073, 578.0304
09/10/2019, 579.0832, 0, 578.2841, 579.0832, 566.1699
09/09/2019, 579.2738, 0, 585.8347, 585.8347, 576.694
09/06/2019, 587.3601, 0, 586.4461, 589.087, 586.4461
09/05/2019, 586.4461, 0, 585.1063, 587.4479, 584.2394
09/04/2019, 584.5498, 0, 584.8257, 587.11, 582.4262
09/03/2019, 584.5853, 0, 581.6603, 585.1049, 580.3488
08/30/2019, 581.7435, 0, 584.3249, 585.5047, 579.2974
08/29/2019, 581.3014, 0, 582.1718, 583.9993, 579.0733
08/28/2019, 579.2985, 0, 577.2461, 579.4222, 573.9219
08/27/2019, 577.2461, 0, 580.4991, 583.25, 577.1822
08/26/2019, 577.1746, 0, 572.2691, 577.3437, 572.2691
08/23/2019, 572.2706, 0, 582.8428, 584.6402, 569.9377
08/22/2019, 582.8428, 0, 584.3612, 585.7051, 580.3498
08/21/2019, 584.027, 0, 582.1328, 585.5584, 582.1328
08/20/2019, 578.0304, 0, 583.0291, 583.759, 577.9429
08/19/2019, 581.8996, 0, 577.242, 583.3003, 577.242
08/16/2019, 576.3179, 0, 573.5049, 577.4273, 572.6591
08/15/2019, 570.0303, 0, 569.679, 571.9531, 566.8922
08/14/2019, 569.3161, 0, 583.0417, 583.0417, 569.2168
08/13/2019, 584.9275, 0, 579.5051, 587.3136, 579.5051
08/12/2019, 579.4311, 0, 582.9899, 583.3989, 575.9733
08/09/2019, 583.644, 0, 583.2084, 586.8575, 579.7636
08/08/2019, 583.2084, 0, 575.1624, 584.2453, 575.1624
08/07/2019, 575.1624, 0, 575.1186, 577.0224, 565.4407
08/06/2019, 575.1186, 0, 572.5413, 578.3154, 572.214
08/05/2019, 572.5314, 0, 582.8292, 582.8292, 567.8097
08/02/2019, 582.8292, 0, 582.0472, 584.0214, 579.7467
08/01/2019, 582.0558, 0, 580.9734, 585.368, 578.0857
07/31/2019, 580.9734, 0, 585.0914, 587.0718, 578.6024
07/30/2019, 585.0906, 0, 591.7893, 591.7893, 583.7227
07/29/2019, 591.7893, 0, 590.3015, 593.9421, 590.3015
07/26/2019, 590.3015, 0, 587.4228, 590.6453, 587.4228
07/25/2019, 587.4228, 0, 586.8889, 591.6651, 586.7729
07/24/2019, 586.8889, 0, 586.86, 586.8933, 582.8058
07/23/2019, 586.86, 0, 584.4054, 588.532, 583.3602
07/22/2019, 584.2068, 0, 584.4667, 585.8119, 582.9084
07/19/2019, 584.4667, 0, 589.5558, 590.0624, 584.4155
07/18/2019, 589.5275, 0, 583.1564, 589.9391, 583.1564
07/17/2019, 583.1564, 0, 586.92, 588.2609, 583.1102
07/16/2019, 582.5656, 0, 584.6598, 585.0818, 581.2267
07/15/2019, 584.372, 0, 582.4394, 585.7077, 581.4192
07/12/2019, 581.3389, 0, 593.3467, 593.3467, 576.9752
07/11/2019, 593.343, 0, 603.9257, 603.9257, 589.3347
07/10/2019, 603.9257, 0, 601.5024, 604.8915, 601.5024
07/09/2019, 601.5156, 0, 598.9564, 603.5701, 598.9564
07/08/2019, 598.9564, 0, 603.0377, 603.0377, 597.0805
07/05/2019, 603.2419, 0, 611.022, 611.022, 602.6171
