Date, Close/Last, Volume, Open, High, Low
06/02/2020, 4323.41, 0, 4357.91, 4361.25, 4297.18
06/01/2020, 4319.38, 0, 4284.44, 4352.89, 4269.25
05/29/2020, 4268.85, 0, 4247.54, 4282.8, 4210.53
05/28/2020, 4297.02, 0, 4389.83, 4390.3, 4280.27
05/27/2020, 4344.73, 0, 4323.84, 4345.69, 4243.18
05/26/2020, 4214.45, 0, 4179.56, 4246.09, 4178.29
05/22/2020, 4050.36, 0, 4037.76, 4052.77, 4003.84
05/21/2020, 4030.65, 0, 4025.32, 4058.74, 4016.03
05/20/2020, 4046.84, 0, 3996.15, 4054.19, 3994.97
05/19/2020, 3941.78, 0, 4028.15, 4041.57, 3941.31
05/18/2020, 4053.01, 0, 3989.68, 4074.33, 3977.6
05/15/2020, 3838.02, 0, 3800.77, 3850.87, 3777.92
05/14/2020, 3841.76, 0, 3723.32, 3844.08, 3669.61
05/13/2020, 3790.13, 0, 3874.27, 3876.37, 3755.34
05/12/2020, 3900.09, 0, 4057.5, 4064.28, 3900.09
05/11/2020, 4039.95, 0, 4037.39, 4083.62, 4022.39
05/08/2020, 4095.26, 0, 4049.95, 4101.28, 4039.19
05/07/2020, 3976.21, 0, 3951.64, 4045.31, 3951.64
05/06/2020, 3909.49, 0, 4013.55, 4023.03, 3906.2
05/05/2020, 3990.76, 0, 4044.33, 4074.68, 3983.96
05/04/2020, 3981.05, 0, 3940.23, 3984.22, 3912.36
05/01/2020, 3987.09, 0, 4037.52, 4040.36, 3958.39
04/30/2020, 4123.24, 0, 4151.22, 4165.71, 4102.03
04/29/2020, 4233.23, 0, 4219.56, 4280.8, 4202
04/28/2020, 4123.08, 0, 4190.61, 4220.87, 4115.07
04/27/2020, 4090.95, 0, 3958.71, 4102.86, 3955.83
04/24/2020, 3912.95, 0, 3896.74, 3927.93, 3848.3
04/23/2020, 3861.38, 0, 3865.52, 3927.28, 3848.64
04/22/2020, 3853.87, 0, 3902.61, 3908.33, 3849.26
04/21/2020, 3821.76, 0, 3819.83, 3872.09, 3794.7
04/20/2020, 3929.69, 0, 3922.73, 3990.73, 3889.54
04/17/2020, 4001.46, 0, 3958.61, 4012.92, 3941.2
04/16/2020, 3837.37, 0, 3855.88, 3862.49, 3782.72
04/15/2020, 3854.88, 0, 3890.87, 3906.38, 3838.26
04/14/2020, 4008.21, 0, 4041.37, 4064.51, 3969.8
04/13/2020, 3949.15, 0, 4114.67, 4115.18, 3920.82
04/09/2020, 4134.93, 0, 4032.69, 4153.09, 4032.07
04/08/2020, 3943.41, 0, 3820.77, 3963.14, 3773.69
04/07/2020, 3768.57, 0, 3945.01, 3947.23, 3764.13
04/06/2020, 3775.23, 0, 3697.77, 3790.38, 3682.84
04/03/2020, 3531.36, 0, 3583.18, 3618.04, 3484.2
04/02/2020, 3600.62, 0, 3497.46, 3635.15, 3496.01
04/01/2020, 3525.67, 0, 3541.34, 3558.92, 3484.2
03/31/2020, 3714.3, 0, 3777.98, 3785.91, 3669.53
03/30/2020, 3806.22, 0, 3725.96, 3817.98, 3651.12
03/27/2020, 3711.38, 0, 3649.59, 3816.88, 3632.11
03/26/2020, 3811.73, 0, 3577.51, 3828.75, 3577.11
03/25/2020, 3539.64, 0, 3473.42, 3657.89, 3410.57
03/24/2020, 3453.36, 0, 3266.36, 3461.48, 3263.67
03/23/2020, 3104.77, 0, 3307.1, 3307.1, 3042.43
03/20/2020, 3324.11, 0, 3505.24, 3554.61, 3292.71
03/19/2020, 3506.53, 0, 3394.26, 3569.19, 3258.62
03/18/2020, 3429.38, 0, 3505.71, 3579.18, 3347.82
03/17/2020, 3734.02, 0, 3558.84, 3735.87, 3427.07
03/16/2020, 3474.11, 0, 3721.67, 3750.44, 3472.48
03/13/2020, 4026.9, 0, 3878.46, 4031.82, 3696.22
03/12/2020, 3655.42, 0, 3746.58, 3912.44, 3651.82
03/11/2020, 4058.22, 0, 4171.44, 4209.9, 4013.14
03/10/2020, 4303.22, 0, 4258.63, 4306.27, 4085.96
03/09/2020, 4111.44, 0, 4221.88, 4280.27, 4097.99
03/06/2020, 4561.03, 0, 4543.19, 4613.01, 4457.54
03/05/2020, 4698.1, 0, 4749.75, 4771.72, 4650.83
03/04/2020, 4882.04, 0, 4789.3, 4885.25, 4740.28
03/03/2020, 4736.09, 0, 4820.3, 4900.96, 4676.33
03/02/2020, 4832.05, 0, 4615.26, 4832.05, 4592.56
02/28/2020, 4600.14, 0, 4621.49, 4681.41, 4518.53
02/27/2020, 4760.67, 0, 4876.82, 4940.14, 4760.67
02/26/2020, 4957.05, 0, 5001.23, 5048.5, 4950
02/25/2020, 4967.63, 0, 5130.91, 5131.91, 4956.71
02/24/2020, 5121.95, 0, 5127.95, 5158.86, 5102.46
02/21/2020, 5252.37, 0, 5281.65, 5290.23, 5242.13
02/20/2020, 5298.71, 0, 5259.08, 5307.3, 5246.63
02/19/2020, 5244.52, 0, 5256.8, 5268.63, 5244.52
02/18/2020, 5241.91, 0, 5254.68, 5263.67, 5219.58
02/14/2020, 5273.9, 0, 5251.42, 5276.56, 5249.01
02/13/2020, 5248.71, 0, 5208.02, 5253.16, 5205.1
02/12/2020, 5229.74, 0, 5233.27, 5235.85, 5205.53
02/11/2020, 5220.69, 0, 5207.01, 5252.97, 5206.32
02/10/2020, 5179.98, 0, 5156.46, 5179.98, 5154.64
02/07/2020, 5165.07, 0, 5177.37, 5183.97, 5157.4
02/06/2020, 5191.69, 0, 5231.55, 5235.74, 5187.19
02/05/2020, 5204.82, 0, 5195.53, 5209.8, 5175.77
02/04/2020, 5148.48, 0, 5147.21, 5179.14, 5144.52
02/03/2020, 5091.12, 0, 5083.68, 5127.1, 5076.44
01/31/2020, 5051.31, 0, 5116.1, 5119.85, 5040.88
01/30/2020, 5145.32, 0, 5055.99, 5147.8, 5054.99
01/29/2020, 5086.15, 0, 5114.53, 5121.88, 5085.02
01/28/2020, 5102.74, 0, 5095.37, 5119.66, 5081.87
01/27/2020, 5064.33, 0, 5041.58, 5082.87, 5033.19
01/24/2020, 5110.78, 0, 5169.95, 5174.6, 5084.94
01/23/2020, 5166.36, 0, 5151.07, 5171.54, 5122.95
01/22/2020, 5155.49, 0, 5151.8, 5171.31, 5146.18
01/21/2020, 5155.65, 0, 5162.28, 5183.98, 5153.41
01/17/2020, 5176.27, 0, 5191.23, 5194.03, 5169.69
01/16/2020, 5171.63, 0, 5134.25, 5171.63, 5132.39
01/15/2020, 5108.48, 0, 5106.54, 5133.46, 5095.72
01/14/2020, 5117.97, 0, 5125.53, 5134.99, 5107.98
01/13/2020, 5129.86, 0, 5107.02, 5130.37, 5096.08
01/10/2020, 5099.01, 0, 5132.56, 5132.96, 5093.99
01/09/2020, 5128.57, 0, 5111.57, 5135.5, 5106.77
01/08/2020, 5094.65, 0, 5074.48, 5109.24, 5073.68
01/07/2020, 5072.73, 0, 5087.15, 5089.71, 5062.77
01/06/2020, 5097.53, 0, 5080.82, 5098.32, 5054.94
01/03/2020, 5107.99, 0, 5071.5, 5116.31, 5067.72
01/02/2020, 5119.69, 0, 5120.99, 5121.21, 5084.46
12/31/2019, 5103.14, 0, 5087.82, 5107.34, 5087.01
12/30/2019, 5088.16, 0, 5117.48, 5118.92, 5084.36
12/27/2019, 5109.32, 0, 5121.79, 5121.86, 5099.92
12/26/2019, 5116.66, 0, 5109.23, 5121.31, 5103.78
12/24/2019, 5105.01, 0, 5102.44, 5109.27, 5087.09
12/23/2019, 5098.37, 0, 5136.41, 5136.41, 5095.03
