Date, Close/Last, Volume, Open, High, Low
06/02/2020, 12046.41, 0, 11900.24, 12046.41, 11900.24
06/01/2020, 11900.24, 0, 11799.92, 11928.8, 11781.88
05/29/2020, 11802.94, 0, 11750.97, 11817.39, 11645.71
05/28/2020, 11804.91, 0, 11935.88, 11939.74, 11783.22
05/27/2020, 11837.53, 0, 11787.56, 11837.55, 11602.43
05/26/2020, 11603, 0, 11636.54, 11676.96, 11590.31
05/22/2020, 11331.97, 0, 11325.08, 11333.65, 11247.29
05/21/2020, 11351.6, 0, 11393.92, 11447.26, 11287.43
05/20/2020, 11420.03, 0, 11408.61, 11477.33, 11384.36
05/19/2020, 11248.97, 0, 11374.23, 11409.66, 11248.54
05/18/2020, 11402.23, 0, 11282.89, 11454.35, 11282.89
05/15/2020, 10947.32, 0, 10927.41, 10968.17, 10817.12
05/14/2020, 10927.41, 0, 10661.93, 10927.85, 10551.55
05/13/2020, 10829.44, 0, 11035.23, 11038.38, 10747.81
05/12/2020, 11055.58, 0, 11332.42, 11343.39, 11055.58
05/11/2020, 11281.36, 0, 11244.25, 11345.43, 11205.4
05/08/2020, 11354.34, 0, 11281.3, 11360.11, 11237.51
05/07/2020, 11121.67, 0, 11140.93, 11228.25, 11109.56
05/06/2020, 10999.99, 0, 11196.87, 11204.53, 10999.99
05/05/2020, 11135.4, 0, 11188.97, 11259.2, 11124.69
05/04/2020, 11056.28, 0, 10965.77, 11061.96, 10900.39
05/01/2020, 11058.57, 0, 11158.87, 11187.77, 11011.46
04/30/2020, 11372.34, 0, 11473.23, 11492.91, 11326.2
04/29/2020, 11618.23, 0, 11546.4, 11675.3, 11513.08
04/28/2020, 11319.7, 0, 11462.38, 11481.3, 11272.78
04/27/2020, 11264.84, 0, 11106.03, 11301.31, 11086.96
04/24/2020, 11017.9, 0, 11000.7, 11050.01, 10868.93
04/23/2020, 10916.68, 0, 10961.24, 11099, 10905.84
04/22/2020, 10908.56, 0, 10919.97, 10955.5, 10844.76
04/21/2020, 10706.44, 0, 10763.67, 10861.79, 10667.29
04/20/2020, 11003.88, 0, 11016.88, 11181.81, 10985.06
04/17/2020, 11208.29, 0, 11101.32, 11231.27, 11030.42
04/16/2020, 10818.03, 0, 10882.83, 10891.68, 10718.13
04/15/2020, 10843.92, 0, 10861.97, 10903.06, 10760.96
04/14/2020, 11172.2, 0, 11151.16, 11241.23, 11064.63
04/13/2020, 10949.53, 0, 11136.61, 11136.61, 10817.15
04/09/2020, 11136.61, 0, 11070.32, 11272.48, 11019.82
04/08/2020, 10902.59, 0, 10641.51, 10939.97, 10538.65
04/07/2020, 10537.04, 0, 10894.2, 10912.56, 10534.74
04/06/2020, 10515.24, 0, 10264.13, 10560.73, 10233.04
04/03/2020, 9880.63, 0, 10012.47, 10075.91, 9774.24
04/02/2020, 10062.37, 0, 9815.27, 10142.01, 9813.51
04/01/2020, 9844.85, 0, 9917.31, 10029, 9766.8
03/31/2020, 10301.87, 0, 10387.73, 10499.8, 10237.22
03/30/2020, 10434.74, 0, 10238.13, 10455.77, 10131.6
03/27/2020, 10187.21, 0, 10135.73, 10449.22, 10064.5
03/26/2020, 10536.28, 0, 10060.48, 10556.9, 10060.48
03/25/2020, 9961.38, 0, 9749.8, 10303.9, 9591.74
03/24/2020, 9658.32, 0, 9276.64, 9672.01, 9276.64
03/23/2020, 8777.38, 0, 9014.58, 9053.49, 8664.94
03/20/2020, 9133.16, 0, 9577.9, 9676.94, 9108.15
03/19/2020, 9461.31, 0, 9313.76, 9622.21, 9048.36
03/18/2020, 9384.6, 0, 9562.49, 9666.57, 8953.6
03/17/2020, 10063.36, 0, 9726.18, 10154.16, 9484.65
03/16/2020, 9567.53, 0, 10851.98, 10851.98, 9559.23
03/13/2020, 10851.98, 0, 10445.44, 10851.98, 10060.35
03/12/2020, 10060.76, 0, 10466.7, 10646.92, 10054.47
03/11/2020, 11177.29, 0, 11523.94, 11523.94, 11053.79
03/10/2020, 11793.27, 0, 11635.22, 11794.01, 11246.52
03/09/2020, 11298.43, 0, 11748.61, 11748.61, 11240.77
03/06/2020, 12352.03, 0, 12593.03, 12593.03, 12106.74
03/05/2020, 12593.03, 0, 12740.86, 12786.64, 12489.77
03/04/2020, 13009.96, 0, 12696.61, 13011.45, 12673.9
03/03/2020, 12542.74, 0, 12845.06, 13015.66, 12432.52
03/02/2020, 12827.99, 0, 12441.43, 12830.05, 12316.18
02/28/2020, 12380.97, 0, 12547.25, 12547.25, 12024.45
02/27/2020, 12547.25, 0, 12841.4, 12977.18, 12544.99
02/26/2020, 13046.62, 0, 13194.31, 13323.34, 13041.94
02/25/2020, 13143.73, 0, 13570.21, 13582.74, 13110.09
02/24/2020, 13534.12, 0, 13654, 13654, 13493.68
02/21/2020, 13975.78, 0, 14014.63, 14014.63, 13931.13
02/20/2020, 14061.48, 0, 14061.04, 14104.92, 13955.75
