Date, Close/Last, Volume, Open, High, Low
06/05/2020, 66.4886, 0, 71.9716, 72.5026, 65.1721
06/04/2020, 62.9367, 0, 59.856, 64.8114, 58.6558
06/03/2020, 57.1511, 0, 54.2966, 58.2614, 54.1806
06/02/2020, 52.4435, 0, 52.0592, 52.7325, 51.233
06/01/2020, 50.5812, 0, 48.5785, 51.9553, 48.5785
05/29/2020, 48.5785, 0, 49.2876, 49.4016, 47.394
05/28/2020, 49.2876, 0, 51.8444, 51.8444, 48.9883
05/27/2020, 51.8812, 0, 53.9876, 54.6991, 49.2612
05/26/2020, 50.0722, 0, 48.9637, 51.0396, 48.9156
05/22/2020, 45.5174, 0, 46.7259, 46.9567, 44.7061
05/21/2020, 46.1725, 0, 45.6421, 47.3074, 45.6293
05/20/2020, 45.2073, 0, 44.1485, 45.8773, 44.0349
05/19/2020, 42.9095, 0, 45.023, 45.2701, 42.5829
05/18/2020, 44.1101, 0, 41.8185, 44.1246, 41.383
05/15/2020, 38.6458, 0, 39.1584, 39.7263, 38.0643
05/14/2020, 39.1584, 0, 38.1069, 39.7561, 36.1938
05/13/2020, 39.3326, 0, 41.315, 41.315, 38.2839
05/12/2020, 41.2634, 0, 43.2705, 44.0174, 41.2634
05/11/2020, 43.0709, 0, 43.4207, 43.9651, 42.3307
05/08/2020, 44.7773, 0, 42.9553, 44.9433, 42.8963
05/07/2020, 41.7392, 0, 41.7002, 42.7807, 41.3147
05/06/2020, 41.5266, 0, 43.3812, 43.7183, 41.0664
05/05/2020, 43.4073, 0, 44.5532, 46.1447, 43.2826
05/04/2020, 44.5532, 0, 42.5605, 44.8855, 41.2566
05/01/2020, 46.0107, 0, 47.8446, 48.6127, 44.9896
04/30/2020, 50.2626, 0, 49.9372, 51.1176, 48.3953
04/29/2020, 51.7417, 0, 49.2435, 52.5263, 49.242
04/28/2020, 46.7624, 0, 43.6502, 47.2589, 43.5957
04/27/2020, 42.6241, 0, 43.3194, 44.0181, 42.5273
04/24/2020, 42.8871, 0, 43.6577, 43.7301, 41.9272
04/23/2020, 43.1321, 0, 43.1758, 44.4029, 42.9279
04/22/2020, 42.7627, 0, 44.8923, 44.9435, 41.9193
04/21/2020, 43.9556, 0, 43.652, 44.9296, 43.3293
04/20/2020, 44.8687, 0, 45.0442, 45.8947, 44.223
04/17/2020, 46.3289, 0, 47.0118, 47.318, 46.0096
04/16/2020, 44.1217, 0, 46.568, 46.6056, 43.8635
04/15/2020, 47.3718, 0, 48.3676, 48.6397, 46.0526
04/14/2020, 47.659, 0, 47.669, 49.4406, 47.3775
04/13/2020, 45.8538, 0, 49.574, 49.574, 44.6821
04/09/2020, 48.2635, 0, 47.6395, 50.1002, 46.3671
04/08/2020, 44.7094, 0, 43.9142, 45.1421, 43.2718
04/07/2020, 42.633, 0, 44.381, 46.7255, 41.9564
04/06/2020, 39.9367, 0, 39.6114, 40.6739, 38.2007
04/03/2020, 37.4457, 0, 39.0138, 39.4036, 36.4885
04/02/2020, 38.5997, 0, 40.1002, 40.8124, 38.1588
04/01/2020, 40.0931, 0, 43.8252, 43.8252, 39.9517
03/31/2020, 45.2612, 0, 46.0907, 47.3619, 44.584
03/30/2020, 45.1602, 0, 46.391, 47.0783, 43.1857
03/27/2020, 48.0828, 0, 50.6839, 50.6839, 47.9206
03/26/2020, 52.4565, 0, 50.761, 56.6499, 50.761
03/25/2020, 50.761, 0, 52.5422, 53.5096, 46.5524
03/24/2020, 46.2518, 0, 44.1866, 48.0681, 43.3256
03/23/2020, 38.5783, 0, 38.5172, 39.5738, 36.205
03/20/2020, 37.7607, 0, 38.7546, 43.4731, 37.5124
03/19/2020, 36.882, 0, 37.1652, 38.6051, 33.1981
03/18/2020, 37.1652, 0, 48.5848, 48.5848, 34.2193
03/17/2020, 48.5848, 0, 51.2925, 53.35, 47.3356
03/16/2020, 50.7146, 0, 57.6997, 57.6997, 49.166
03/13/2020, 60.2777, 0, 59.6451, 60.3075, 54.8529
03/12/2020, 55.5792, 0, 63.8874, 63.8874, 55.3431
03/11/2020, 68.8147, 0, 73.0688, 73.0688, 67.9619
03/10/2020, 74.9386, 0, 73.0728, 74.9411, 68.7413
03/09/2020, 69.9066, 0, 72.0221, 72.851, 69.4518
03/06/2020, 75.5837, 0, 72.5947, 78.0108, 72.0917
03/05/2020, 75.2825, 0, 80.4231, 80.4231, 75.0625
03/04/2020, 83.0272, 0, 81.8167, 83.1132, 79.6822
03/03/2020, 80.726, 0, 85.4039, 86.2307, 80.0329
03/02/2020, 83.8654, 0, 83.7344, 83.8686, 80.1896
02/28/2020, 83.8287, 0, 85.181, 85.5284, 82.7638
02/27/2020, 86.4244, 0, 89.4495, 90.9902, 85.0929
02/26/2020, 91.7372, 0, 96.6813, 97.3892, 91.6474
02/25/2020, 96.5148, 0, 101.8206, 102.4741, 96.297
02/24/2020, 101.8206, 0, 104.5823, 104.5823, 101.1702
02/21/2020, 108.4957, 0, 109.5985, 109.5985, 107.2596
02/20/2020, 109.5985, 0, 108.936, 110.1703, 108.936
02/19/2020, 109.4424, 0, 110.4013, 110.4013, 109.162
02/18/2020, 110.2729, 0, 111.0992, 111.6708, 109.8189
02/14/2020, 111.5926, 0, 112.4275, 112.8193, 111.1291
02/13/2020, 112.5263, 0, 111.8552, 112.6679, 111.6586
02/12/2020, 112.7039, 0, 110.9499, 113.0002, 110.9499
02/11/2020, 110.9499, 0, 109.8413, 111.6225, 109.5919
02/10/2020, 109.2257, 0, 109.1878, 109.3893, 108.2443
02/07/2020, 109.659, 0, 110.5348, 110.5348, 108.9511
02/06/2020, 110.5348, 0, 112.3785, 113.7848, 110.3691
02/05/2020, 112.3785, 0, 112.0451, 112.7836, 111.247
02/04/2020, 110.5045, 0, 109.28, 110.9942, 109.28
02/03/2020, 107.5287, 0, 106.7972, 109.2561, 106.7972
01/31/2020, 106.7972, 0, 108.6152, 108.9904, 106.3476
01/30/2020, 109.1395, 0, 106.8256, 109.206, 106.8256
01/29/2020, 107.9432, 0, 108.9088, 109.2239, 107.8405
01/28/2020, 108.6747, 0, 107.8281, 109.32, 107.5
01/27/2020, 106.9, 0, 107.9953, 107.9953, 106.2649
01/24/2020, 110.5662, 0, 112.4477, 112.4477, 108.9283
01/23/2020, 112.2741, 0, 109.8262, 112.4054, 108.2429
01/22/2020, 110.1109, 0, 110.0185, 110.7872, 109.9043
01/21/2020, 109.3821, 0, 111.413, 111.4284, 108.083
01/17/2020, 112.3645, 0, 112.6469, 112.7516, 111.9171
01/16/2020, 112.2002, 0, 111.0487, 112.4669, 111.045
01/15/2020, 110.1593, 0, 109.8415, 110.6301, 109.701
01/14/2020, 110.006, 0, 109.813, 111.7627, 109.813
01/13/2020, 109.3137, 0, 109.3431, 109.4687, 108.9255
01/10/2020, 109.245, 0, 110.0232, 110.0232, 108.8963
01/09/2020, 109.2005, 0, 109.4353, 110.4577, 109.0627
01/08/2020, 108.6709, 0, 107.3824, 109.6803, 107.3824
01/07/2020, 107.7658, 0, 107.7243, 108.2642, 107.4274
01/06/2020, 107.6974, 0, 107.5823, 108.4664, 107.4091
01/03/2020, 108.8618, 0, 111.0052, 111.0052, 107.4805
01/02/2020, 111.0052, 0, 110.802, 111.392, 110.4592
12/31/2019, 109.9214, 0, 109.7212, 110.237, 109.4535
12/30/2019, 109.9436, 0, 110.6448, 110.6448, 109.3922
12/27/2019, 110.4928, 0, 112.2373, 112.409, 110.2131
12/26/2019, 112.2373, 0, 112.8149, 113.0094, 111.8639
12/24/2019, 112.6282, 0, 112.6019, 112.8656, 111.741
12/23/2019, 112.5469, 0, 112.5657, 113.6706, 112.3955
12/20/2019, 112.4967, 0, 112.3902, 112.791, 112.175
12/19/2019, 112.3902, 0, 111.4719, 112.4993, 111.2407
12/18/2019, 111.4813, 0, 112.1215, 112.3367, 111.1171
12/17/2019, 111.7707, 0, 110.0278, 112.0726, 109.9596
